artifact_name,countr_of_origin,acquisition_date,created_date,description,continent
Relay,United States of America,1966,1950,"GLASS, METAL, SYNTHETIC/ CARDBOARD BOX",NA
Propeller,United States of America,1966,1910,WOODEN PROPELLER WITH METAL TRAILING EGDES AND TIPS/ BRASS MFR'S PLATE,NA
Propeller,Canada,1966,1942,WOOD/ METAL,NA
"Compass, solar",United States of America,1966,1891,BRASS CONSTRUCTION; STERLING SILVER ARCS AND GRADUATIONS OF LIMB; GLASS TUBE LEVEL VIALS. WOODEN CASE FITTED WITH BRASS HINGES.,NA
"Engine, automobile",Canada,1966,1948,CAST IRON/ STEEL/ ASSORTED METALS,NA
"Watch, pocket",United States of America,1966,1898,METAL BODY/ ENAMEL OR PORCELAIN FACE/ GLASS CRYSTAL,NA
Headlamp,United States of America,1966,1900,SHEET AND CAST METAL (IRON?)/ GLASS LENS,NA
"Board, order",Canada,1966,1919,CAST IRON BODY AND MOUNT/ GLASS LENSES/ WOODEN ARM ATTACHMENT,NA
"Therapy machine, cobalt",Canada,1966,1956,"METAL,"" SYNTHETIC & WOOD COMPONENTS.",NA
Camera,United States of America,1966,1926,Cast steel body/ Glass lens element/ Synthetic/ Leather box? with plush lining.,NA
Camera,United States of America,1966,1919,METAL CAMERA BODY/ METAL & WOOD FILM HOLDERS/ GLASS LENS ELEMENT/ CLOTH SHUTTER/ LEATHER?/ WOOD CASE,NA
Camera,Federal Republic of Germany,1966,1968,METAL BODY & INTERIOR FITTINGS/ LEATHER COVERING/ RUBBERIZED CLOTH SHUTTER/ SYNTHETIC PARTS,EU
"Plate, equipment number",Canada,1966,1917,BRASS,NA
"Plate, equipment number",Canada,1966,1913,BRASS,NA
"Plate, equipment number",United States of America,1966,1919,BRASS,NA
Airplane,Canada,1966,1938,"these were the first all-metal stressed-skin aircraft to be built in Canada. The Delta used the same wing as the Gamma, had split flaps and a non-retractable undercarriage like its predecessors",NA
Propeller,United States of America,1966,1920,WOOD/ FABRIC,NA
"Helmet, flying",United States of America,1966,1940,GABARDINE CLOTH/ FLEECE LINING/ LEATHER/ METAL,NA
"Helmet, flying",United States of America,1966,1942,LEATHER HELMET & CHINSTRAP/ DOESKIN LINING/ RUBBER KAPOK-FILLED EARPHONE MOUNTINGS/ METAL SNAPS & BUCKLE,NA
"Helmet, flying",Canada,1966,1930,"LEATHER EXTERIOR/ CHAMOIS LINING/ METAL EARPHONE FIXTURE, SNAPS & BUCKLES",NA
"Helmet, flying",Canada,1966,1943,CANVAS MESH/ LEATHER/ RUBBER/ FELT/ METAL,NA
"Goggles, flying",Canada,1966,1942,LEATHER FACEPIECE & STRAP/ PLASTIC LENSES/ METAL FRAME & FITTINGS/ COTTON (?) STRAP/ VELVET LINERS,NA
"Boot, flying",Canada,1966,1940,LEATHER/ SHEARLING LINING/ METAL BUCKLES ON SHAFT FRONT,NA
"Gun, machine",United Kingdom,1966,1918,HEAVY METAL FOR MAIN BODY OF THE GUN/ OAK WOOD HANDLES/ BRASS FOR FIRING MECHANISM,EU
Rocket,Canada,1966,1959,ALL METAL,NA
Coat,United States of America,1966,1985,"CANVAS WITH WOOL LINING/ RUBBERIZED TRIM/ CORDUROY COLLAR/ METAL CLASPS, SNAPS, EYELETS",NA
Coat,United States of America,1966,1985,".CANVAS WITH WOOL LINING/ RUBBERIZED TRIM/ CORDUROY COLLAR/ METAL CLASPS, SNAPS, EYELETS",NA
"Liner, uniform coat",United States of America,1966,1985,WOOL DETACHABLE LINING WITH METAL SNAPS & SYNTHETIC TRIM,NA
Airplane model,Canada,1966,1918,WOOD; METAL,NA
Airplane model,United Kingdom,1966,1967,WOOD/ METAL/ FABRIC/ PLASTIC,EU
Wing section model,United Kingdom,1966,1967,METAL,EU
Wing section model,United Kingdom,1966,1967,WOOD; VENEER,EU
Wing structure model,United Kingdom,1966,1966,"FIBRE COVER, METAL INTERIOR",EU
Wing structure model,United Kingdom,1966,1966,"METAL INSIDE STRUCTURE, APPEARS TO BE PLASTIC SHELL",EU
Landing gear model,United Kingdom,1966,1958,METAL; PLASTIC & RUBBER,EU
Landing gear model,United Kingdom,1966,1967,"PLASTIC COVERING, METAL PTS",EU
Wing structure model,United Kingdom,1966,1967,"FIBRE; SYNTHETIC, PLASTIC",EU
Airplane model,United Kingdom,1966,1966,"FIBRE; SYNTHETIC, PLASTIC",EU
Earphone,United States of America,1966,1920,FERROUS & NON-FERROUS METAL/ SYNTHETIC EAR CUSHION & HEADBAND COVERING/ WOVEN FABRIC CORD COVERING,NA
Photograph,Canada,1966,1916,"Paper, cardboard, pressboard and metal",NA
Photograph,Canada,1966,1902,Metal buttons/celluloid? mounted paper photograph/woven fabric ribbon/cardboard box with fabric lining,NA
Photograph,Canada,1966,1902,Metal buttons/celluloid? mounted paper photograph/woven fabric ribbon/cardboard box with fabric lining,NA
"Tester,"" hardness",United States of America,1966,1930,METAL/ WOOD PART,NA
"Gauge, steam",Canada,1966,1900,BRASS CASING/ GLASS,NA
"Compass, bearing",Canada,1966,1944,"METAL CASING, FACE AND PARTS/ GLASS",NA
Propeller,Canada,1966,1930,Manganese bronze,NA
Valve gear model,United States of America,1966,1930,WOOD BASE/ METAL,NA
Valve gear model,United States of America,1966,1930,WOOD BASE/ METAL,NA
"Engine, diesel",United Kingdom,1966,1925,"METALS, INCLUDING STEEL, CHROME-NICKEL, ALUMINUM ALLOY & STAINLESS STEEL/ ENGINE MOUNTED ON A WOOD BASE",EU
Governor,United States of America,1966,1909,METAL- SOME BRASS PARTS,NA
Snowblower,Canada,1966,1926,METAL/ WOOD PARTS/ SYNTHETIC SEATS & PARTS/ RUBBER TIRES,NA
Outboard motor,Canada,1966,1952,"STEEL/ ALUMINUM (?)/ PLASTIC, RUBBER",NA
Outboard motor,United States of America,1966,1950,STEEL,NA
Vacuum tube,Canada,1966,1920,GLASS/ METAL/ BAKELITE/ CARDSTOCK,NA
"Plaque, commemorative",United States of America,1966,1959,LACQUERED BRASS MEDALLION/ MAHOGANY BASE/ FELT LINER,NA
Computer,Canada,1966,1958,METALS; RUBBER; PLASTICS; GLASS; FABRIC,NA
Sextant,United Kingdom,1966,1938,"ALUMINUM, BAKELITE, GLASS & RUBBER",EU
Mandolin,United States of America,1966,1900,"WOOD BODY, NECK, HEAD/ STEEL STRINGS/ METAL TAILPIECE & PEGS/ IVORY? TUNING PEGS & TRIM/ SYNTHETIC? PLECTRUM/ WOOD CASE WITH FELT LINING AND SYNTHETIC? COVERING",NA
Airplane model,Canada,1966,1950,"METAL, SILVER PLATED; STONE, MARBLE; FIBRE, FELT",NA
"Tube, vacuum discharge",United States of America,1966,1972,GLASS TUBE; METAL PARTS; PAPER LABELS,NA
Camera,United States of America,1966,1931,"CAST STEEL, GLASS LENS, GLASS CONTACT PLATE, ALUMINUM TRUNNION ARMS",NA
"Cap, military wedge",United Kingdom,1966,1918,"BARATHEA FABRIC (UNIDENTIFIED); STEEL BUTTONS & INSIGNIA, FABRIC LINING (UNIDENTIFIED)",EU
"Recorder, sunshine",United Kingdom,1966,1958,"NON-FERROUS METAL, INCLUDING BRASS/ GLASS SPHERE/ CARDBOARD CHART",EU
"Chart, recorder",Canada,1966,1958,cardboard,NA
"Chart, recorder",Canada,1966,1958,cardboard,NA
"Sphere, sunshine recorder",United Kingdom,1966,1958,glass,EU
Telescope,United States of America,1966,1960,ALUMINUM TELESCOPE & PARTS/ GLASS LENSES & MIRRORS/ SYNTHETIC PARTS/ LEATHER CARRYING CASE WITH FABRIC LINING/ SYNTHETIC LUGGAGE COVER,NA
Eyepiece,Japan,1966,1960,GLASS LENSES & MIRRORS,AS
Dewcap,United States of America,1966,1960,ALUMINUM TELESCOPE & PARTS/ GLASS LENSES & MIRRORS/ SYNTHETIC PARTS/ LEATHER CARRYING CASE WITH FABRIC LINING/ SYNTHETIC LUGGAGE COVER,NA
Support,United States of America,1966,1960,aluminum and synthetic,NA
Support,United States of America,1966,1960,aluminum and synthetic,NA
Support,United States of America,1966,1960,aluminum and synthetic,NA
Screw,United States of America,1966,1960,metal and synthetic,NA
Screw,United States of America,1966,1960,metal and synthetic,NA
Antenna,Canada,1966,1962,"METAL ANTENNA, CASING, & PARTS/ SYNTHETIC PARTS.",NA
Cover,United States of America,1966,1960,PAPER ENVELOPE & STAMP/ METAL FOIL,NA
Cover,United States of America,1966,1969,CARDBOARD & PAPER,NA
"Stamp, postage",United States of America,1966,1969,PAPER,NA
"Stamp, postage",United States of America,1966,1969,PAPER,NA
"Stamp, postage",Qatar,1966,1969,PAPER,AS
"Engine, marine",Canada,1966,1930,METAL/ SYNTHETIC PARTS,NA
"Test, colour-perception",Japan,1966,1974,"Cardboard and coated-paper cover. Paper pages, plates and manual. Inks.",AS
Damping fluid,United States of America,1966,1935,FERROUS METAL BODY & LID/ PAPER LABEL,NA
Damping fluid,United States of America,1966,1935,FERROUS METAL BODY & LID/ PAPER LABEL,NA
Damping fluid,United States of America,1966,1935,FERROUS METAL BODY & LID/ PAPER LABEL,NA
Damping fluid,United States of America,1966,1935,FERROUS METAL BODY & LID/ PAPER LABEL,NA
Balance,United Kingdom,1966,1940,.1: SCALE: BRASS & CAST IRON; FRENCH IVORY SCALE; FELT PADS ON PAN RESTS;.1: CASE: WOOD & GLASS WITH BRASS HARDWARE/.2 &.3: BRASS WITH STEEL HOOKS/.4 TO.15: BRASS/.16: BRASS WITH FRENCH IVORY ENDS/ STORAGE BOX: WOOD WITH BRASS HARDWARE,EU
Vacuum tube,Canada,1966,1935,GLASS ENVELOPE/ METAL & SYNTHETIC WORKING PARTS/ SYNTHETIC BASE,NA
Vacuum tube,Canada,1966,1935,METAL/ SYNTHETIC,NA
Vacuum tube,Canada,1966,1935,METAL/ SYNTHETIC BASE,NA
Vacuum tube,United States of America,1966,1947,GLASS ENVELOPE/ METAL WORKING PARTS,NA
Vacuum tube,United States of America,1966,1960,GLASS ENVELOPE/ METAL WORKING PARTS,NA
Vacuum tube,United Kingdom,1966,1960,GLASS ENVELOPE/ METAL WORKING PARTS/ CARDSTOCK BOX,EU
"Receiver, television",United States of America,1966,1960,"METAL CABINET/ SYNTHETIC BACK & FRONT PANELS/ GLASS SCREEN/ METAL, GLASS & SYNTHETIC WORKING PARTS",NA
Thrust reversing device model,Canada,1966,1959,WOOD BASE/ METAL PARTS,NA
Antenna,Canada,1966,1924,WOOD BASE & ARMS/ SYNTHETIC FIBRE WRAPPED WIRES & POWER CORD,NA
Telephone,Canada,1966,1900,"WOOD CABINET & BACKBOARD/ METAL BELLS, ARMS, WORKING PARTS/ BAKELITE MOUTHPIECE, EARPIECE, CRANK HANDLE GRIP, PARTS/ FABRIC COVERED WIRE",NA
Token,Canada,1966,1910,METAL,NA
Nameplate,France,1966,1909,METAL,EU
"Helmet, flying",United States of America,1966,1943,LEATHER/ CHAMOIS LINING/ METAL SNAPS & BUCKLES/ RUBBER EARPHONE MOUNTINGS,NA
"Helmet, flying",Canada,1966,1920,COTTON FABRIC/ FLANNEL LINING/ METAL SNAPS & BUCKLES,NA
Card,United States of America,1966,1950,PAPER,NA
"Cable sample, telephone",Canada,1966,1960,"COPPER CONDUCTOR, POLYURETHANE INSULATION AND PROTECTIVE SHEATH",NA
"Cable sample, telephone",Canada,1966,1960,"COPPER CONDUCTOR, POLYURETHANE INSULATION AND PROTECTIVE SHEATH",NA
"Stylus, disk player",Canada,1966,1924,SHEET METAL BOX & INSIDE HOLDER/ TUNGSTEN STYLUS POINT,NA
Radiotelephone,Canada,1966,1960,"SHEET METAL CASE, CHASSIS &HARDWARE/ GLASS TUBES/METAL & SYNTHETIC WORKING PARTS",NA
Vacuum tube,Canada,1966,1926,PAPERSTOCK BOX/ GLASS ENVELOPE/ METAL & SYNTHETIC WORKING PARTS/ SYNTHETIC BASE,NA
Vacuum tube,United States of America,1966,1925,GLASS ENVELOPE/ SYNTHETIC BASE/ PAPER LABEL/ METAL & SYNTHETIC WORKING PARTS,NA
Vacuum tube,Canada,1966,1935,"GLASS ENVELOPE/ METAL BASE, PRONGS, CAP & WORKING PARTS/ SYNTHETIC BOTTOM & WORKING PARTS",NA
Vacuum tube,United States of America,1966,1936,METAL/ SYNTHETIC/ GLASS,NA
Vacuum tube,United States of America,1966,1937,GLASS/ METAL/ SYNTHETIC,NA
Motorbicycle,United States of America,1966,1950,"METAL FRAME & PARTS/ LEATHER SADDLE/ RUBBER TIRES, PEDALS, BELTS, HANDGRIPS/ GLASS CONTAINER",NA
Heater,United States of America,1966,1920,PRESSED METAL HOUSING/ METAL WIRE HANDLE/ METAL SCREEN VIEWING WINDOW WITH PRESSED METAL FRAME,NA
"Stove, recreational",United States of America,1966,1900,CAST IRON BASE/RESERVOIR & GRATE/ PRESSED METAL BURNERS & CHIMNEYS/ MICA SIGHT WINDOWS/ CLOTH WICKS,NA
Vacuum tube,United States of America,1966,1950,"CARDSTOCK BOX/ GLASS ENVELOPE/ METAL BASE/ METAL, GLASS & SYNTHETIC WORKING PTS",NA
Vacuum tube,United States of America,1966,1925,GLASS/ SYNTHETIC/ METAL/ PAPER,NA
Vacuum tube,Japan,1966,1956,GLASS/ METAL/ SYNTHETIC,AS
Vacuum tube,Canada,1966,1945,GLASS/ METAL/ SYNTHETIC/ CARDSTOCK,NA
Vacuum tube,United States of America,1966,1937,METAL/ SYNTHETIC,NA
Vacuum tube,Canada,1966,1925,GLASS/ METAL/ SYNTHETIC/ PAPER,NA
Vacuum tube,Canada,1966,1940,GLASS/ METAL/ SYNTHETIC/ CARDSTOCK,NA
Vacuum tube,Canada,1966,1934,GLASS/ METAL/ SYNTHETIC,NA
Vacuum tube,United States of America,1966,1937,METAL/ SYNTHETIC,NA
Vacuum tube,Canada,1966,1940,GLASS/ METAL/ BAKELITE,NA
Vacuum tube,Canada,1966,1948,GLASS/ METAL,NA
Vacuum tube,Canada,1966,1939,GLASS/ METAL/ SYNTHETIC/ CARDSTOCK,NA
Vacuum tube,Canada,1966,1940,GLASS/ METAL/ BAKELITE/ CARDSTOCK,NA
Vacuum tube,United States of America,1966,1936,GLASS/ METAL/ SYNTHETIC,NA
Vacuum tube,Canada,1966,1948,GLASS/ METAL/ PAPER,NA
Vacuum tube,United States of America,1966,1938,METAL/ SYNTHETIC,NA
Vacuum tube,Canada,1966,1942,GLASS/ METAL/ SYNTHETIC/ CARDSTOCK,NA
Vacuum tube,United States of America,1966,1946,GLASS/ METAL/ SYNTHETIC,NA
Vacuum tube,Canada,1966,1937,GLASS/ ALUMINUM/ METAL/ SYNTHETIC,NA
Vacuum tube,Canada,1966,1937,GLASS/ SYNTHETIC/ METAL/ CARDSTOCK,NA
Vacuum tube,Canada,1966,1942,GLASS/ METAL/ PAPER/ SYNTHETIC,NA
Power plant,Canada,1966,1945,"WELDED ANGLE IRON FRAME/ SHEET STEEL PANELS/ BAKELITE PANELS/ METAL, GLASS & SYNTHETIC WORKING PARTS",NA
Microscope,Switzerland,1966,1967,Metal & synthetic construction/ glass optics,EU
Vacuum tube,Canada,1966,1958,GLASS/ METAL/ SYNTHETIC,NA
Vacuum tube,Canada,1966,1933,GLASS/ METAL/ SYNTHETIC/ CARDSTOCK,NA
Vacuum tube,United States of America,1966,1945,GLASS/ METAL,NA
Vacuum tube,United States of America,1966,1930,GLASS/ SYNTHETIC/ METAL/ PAPER,NA
Vacuum tube,United States of America,1966,1960,GLASS/ METAL/ SYNTHETIC/ PAPER,NA
Vacuum tube,Canada,1966,1940,GLASS/ METAL/ PAPER,NA
Vacuum tube,United States of America,1966,1936,METAL,NA
Vacuum tube,Canada,1966,1936,GLASS/ SYNTHETIC/ METAL/ CARDSTOCK,NA
Vacuum tube,United States of America,1966,1930,GLASS/ SYNTHETIC/ METAL/ CARDSTOCK,NA
Vacuum tube,United States of America,1966,1940,GLASS/ METAL,NA
Vacuum tube,United States of America,1966,1970,GLASS/ METAL/ SYNTHETIC/ PAPER,NA
Vacuum tube,Canada,1966,1940,GLASS/ METAL,NA
Vacuum tube,United Kingdom,1966,1970,GLASS/ METAL/ SYNTHETIC/ PAPER,EU
Vacuum tube,United States of America,1966,1950,GLASS/ METAL,NA
Vacuum tube,Canada,1966,1959,GLASS/ METAL/ SYNTHETIC,NA
Vacuum tube,France,1966,1945,GLASS/ METAL/ CARDSTOCK,EU
Vacuum tube,Canada,1966,1939,GLASS/ SYNTHETIC/ METAL/ CARDSTOCK,NA
Vacuum tube,Russia,1966,1973,GLASS/ METAL/ SYNTHETIC/ CARDSTOCK,EU
Vacuum tube,United States of America,1966,1950,GLASS/ METAL/ SYNTHETIC,NA
Vacuum tube,United States of America,1966,1962,GLASS/ METAL/ SYNTHETIC,NA
Telescope,United States of America,1966,1960,Metal/ glass/ synthetic,NA
Telescope,United States of America,1966,1958,METAL WITH GLASS & SYNTHETIC,NA
Telescope,United States of America,1966,1912,"METAL, INCLUDING IRON/ GLASS.",NA
Telescope,United States of America,1966,1905,"METAL (IRON, BRASS & OTHER), GLASS, SYNTHETIC & CERAMIC",NA
Telescope,United States of America,1966,1950,"TUBE IS PHENOLIC FIBRE, ALSO HAS GLASS, ALUMINUM & OTHER METAL & SYNTHETIC",NA
"Trolley, Fletcher's",United Kingdom,1966,1910,"Wood with non-ferrous metal wheels & wheel mounts, ferrous metal weights",EU
"Socket, vacuum tube",Canada,1966,1923,BAKELITE BASE & TUBE HOLDER/ METAL HARDWARE,NA
Vacuum tube,United Kingdom,1966,1918,TUNGSTEN FILAMENT/ NICKLE ANODE/ OTHER METAL/ GLASS ENVELOPE/ FABRIC WIRE COVER,EU
Vacuum tube,United States of America,1966,1926,GLASS/ SYNTHETIC/ METAL/ PAPER LABELS,NA
Vacuum tube,Canada,1966,1960,GLASS/ SYNTHETIC/ METAL,NA
Vacuum tube,United States of America,1966,1930,GLASS/ METAL/ SYNTHETIC,NA
Vacuum tube,United States of America,1966,1942,GLASS/ SYNTHETIC/ METAL,NA
Vacuum tube,United States of America,1966,1917,GLASS/ METAL/ WAX/ PAPER,NA
Vacuum tube,Canada,1966,1960,GLASS/ SYNTHETIC/ METAL/ CARDSTOCK,NA
Vacuum tube,Canada,1966,1932,GLASS/ SYNTHETIC/ METAL/ MICA,NA
Vacuum tube,Canada,1966,1923,GLASS/ BRASS BASE/ CERAMIC INSERT/ METAL WORKING PARTS/ CARDSTOCK BOX WITH PAPER LABEL,NA
Vacuum tube,United States of America,1966,1932,GLASS/ SYNTHETIC/ METAL,NA
Vacuum tube,United States of America,1966,1944,GLASS/ METAL/ CERAMIC/ SYNTHETIC/ CARDSTOCK/ FIBRE,NA
Vacuum tube,United States of America,1966,1954,GLASS/ SYNTHETIC/ METAL/ PAPER,NA
Vacuum tube,United States of America,1966,1953,GLASS/ SYNTHETIC/ METAL/ PAPER,NA
Vacuum tube,United States of America,1966,1954,GLASS/ SYNTHETIC/ METAL/ PAPER,NA
Vacuum tube,United States of America,1966,1954,GLASS/ SYNTHETIC/ METAL/ PAPER,NA
Vacuum tube,United States of America,1966,1954,GLASS/ METAL/ SYNTHETIC/ PAPER,NA
Vacuum tube,United States of America,1966,1944,GLASS/ SYNTHETIC/ METAL/ PAPER,NA
Sign,Canada,1966,1925,CARDBOARD,NA
Spherometer,United States of America,1966,1885,"GLASS DISC/ METAL (BRASS?) CONSTRUCTION/ CW SOLID WOOD BOX, HAVING BRASS & IRON FITTINGS; SOME AREAS OF INTERIOR LINED WITH VELVET",NA
Vacuum tube,United States of America,1966,1940,GLASS/ METAL/ CERAMIC/ PAPER,NA
"Medal, commemorative",Canada,1966,1937,COPPER ALLOY,NA
"Socket, vacuum tube",United States of America,1966,1940,SYNTHETIC/ METAL,NA
"Socket, vacuum tube",United States of America,1966,1940,CERAMIC/ METAL,NA
"Plug, vacuum tube",United States of America,1966,1940,SYNTHETIC/ METAL,NA
"Record, disk",Canada,1966,1985,VINYL RECORD/ CARDBOARD ALBUM/ PAPER PROTECTOR,NA
Plow,Canada,1966,1920,"METAL FRAME, BEAM, BOTTOMS, COULTERS, WHEELS, HANDLES & LEVERS/ WOOD HAND GRIPS",NA
Plow,Canada,1966,1867,"WOOD BEAM, HANDLES & BRACES/ METAL PLOW BOTTOM, BRACES & HITCH",NA
Plow,Canada,1966,1900,"METAL BEAM, PLOW BOTTOM & BRACES/ WOOD HANDLES & BRACES",NA
Vacuum tube,Canada,1966,1962,GLASS/ METAL/ COPPER CAVITY,NA
"Baler, hay",Canada,1966,1915,"STEEL FRAME/ CAST IRON COGGED WHEELS/ WOODEN PLATFORM & LEGS, BALING BLOCKS/ RUBBER TIRES",NA
"Gauge, rain",Canada,1966,1961,METAL RAIN GAUGE/ SYNTHETIC PARTS/ GLASS PART,NA
Anemometer,Canada,1966,1960,"METAL, INCLUDING ALUMINUM/ SYNTHETIC PARTS/ PLEXIGLASS",NA
Vacuum tube,United Kingdom,1966,1926,GLASS/ SYNTHETIC/ METAL/ PAPER LABEL,EU
Vacuum tube,United Kingdom,1966,1926,GLASS/ SYNTHETIC/ METAL/ PAPER LABEL,EU
Vacuum tube,United Kingdom,1966,1926,GLASS/ SYNTHETIC/ METAL/ PAPER LABEL,EU
Vacuum tube,Canada,1966,1948,GLASS/ SYNTHETIC/ METAL,NA
Vacuum tube,Canada,1966,1944,GLASS/ SYNTHETIC/ METAL,NA
Vacuum tube,Canada,1966,1950,GLASS/ METAL/ SYNTHETIC/ PAPER CARTON,NA
Drawing,Canada,1966,1906,COATED PAPER?,NA
Sign,Canada,1966,1960,CARDBOARD,NA
Badge,Canada,1966,1910,"FABRIC, METAL",NA
Motorcycle,United Kingdom,1966,1948,TUBULAR STEEL FRAME/ ALUMINUM ENGINE PARTS/ METAL PARTS/ SYNTHETIC PARTS,EU
"Fencing, adjustable",Canada,1966,1975,GALVANISED STEEL,NA
Vacuum tube,Canada,1966,1927,GLASS/ METAL/ SYNTHETIC/ CARDSTOCK,NA
Vacuum tube,United States of America,1966,1914,GLASS/ METAL/ SYNTHETIC/ CORK,NA
Vacuum tube,Canada,1966,1920,GLASS/ SYNTHETIC/ METAL,NA
"Socket, vacuum tube",Canada,1966,1922,SYNTHETIC BASE/ METAL TUBE HOLDER & HARDWARE,NA
Ticket,Canada,1966,1981,CARDBOARD,NA
Insulator,Canada,1966,1934,GLASS,NA
Theodolite,United Kingdom,1966,1910,"BRASS & BELL-METAL CONSTRUCTION; CIRCLES, VERNIERS & MICROMETER SCREW SCALES DIVIDED ON PLATINUM; NICKEL (?) PLATING ON LEVELLING SCREWS; GLASS OPTICS/ WOODEN KNOB ON STRIDING LEVEL/ LEATHER COVER ON WOOD CASE",EU
Theodolite,United Kingdom,1966,1900,"CIRCLES & VERNIERS DIVIDED ON SILVER/ BRASS TELESCOPE BODY TUBE, MICROSCOPE BODY TUBES, BASE & LEVELLING FEET/ FERROUS & NON-FERROUS METAL CONSTRUCTION/ GLASS OPTICS/ SYNTHETIC MICROMETER SCREW SCALES/ WOODEN LAMP BRACKET BASE, KNOBS ON.2 &.3",EU
Transit,Germany,1966,1870,BRASS AND OTHER METALS; GLASS OPTICS; CIRCLES & VERNIERS DIVIDED ON SILVER,EU
Clock,Canada,1966,1958,"METAL, INCUDING ALUMINUM & BRASS/ SYNTHETIC, INCLUDING PLASTICS & PHENOLIC (DEFLECTORS), ADHESIVE TAPE",NA
"Panel, programming",United States of America,1966,1965,"METAL CHASSIS & PARTS/ SYNTHETIC CASING, PLUGBOARD, PARTS",NA
"Recorder, temperature",United Kingdom,1966,1909,METAL MECHANISM/ BRASS PARTS/ WOOD CASE WITH GLASS WINDOW AND METAL HARDWARE/ SYNTHETIC SCALE,EU
"Nose, airplane",Canada,1966,1945,METAL/ PLEXIGLASS/ LEATHER SEATS,NA
"File, office",Canada,1966,1900,WOODEN BOARD FITTED WITH METAL ARCH FILE MECHANISM.,NA
"Lifter, window",Canada,1966,1900,SOLID WOOD CONSTRUCTION. BRASS HINGE ON ROCKER PAD (BASE) AND PLATE ON TIP OF PRY. LINOLEUM (?) COVERING ON ROCKER PAD,NA
Clock,Germany,1966,1904,COPPER? CASING/ GLASS COVER/ BRASS MECHANISM PARTS/ STEEL PARTS/ BRASS TELESCOPE WITH GLASS LENSES ETC./ GOLD STRIPING,EU
Drawing,Canada,1966,1906,INK ON SIZED LINEN/ SYNTHETIC,NA
Drawing,Canada,1966,1904,INK ON SIZED LINEN,NA
"Gun, machine",United States of America,1966,1918,STEEL,NA
"Gun, machine",United Kingdom,1966,1914,STEEL,EU
"Receiver, radio",United States of America,1966,1943,STEEL CHASSIS & FRONT PANEL; METAL; GLASS & SYNTHETIC COMPONENTS,NA
Vacuum tube,Canada,1966,1954,GLASS/ METAL/ SYNTHETIC/ CARDSTOCK,NA
Vacuum tube,Canada,1966,1962,GLASS/ METAL/ SYNTHETIC/ CARDSTOCK,NA
Vacuum tube,United States of America,1966,1960,GLASS/ SYNTHETIC/ METAL/ CARDSTOCK,NA
Resistor,United States of America,1966,1947,GLASS/ PORCELAIN/ METAL/ MICA/ PAPER,NA
"Receiver, radio",Canada,1966,1938,"WOODEN CABINET, SHEET METAL CHASSIS, POWER TRANSFORMER, VACUUM TUBES, VARIABLE AND FIXED CAPACITORS, VARIABLE AND FIXED RESISTORS, MISC. WIRING, SOCKETS AND CONNECTORS, ELECTRIC DYNAMIC SPEAKER, DIAL ASSEMBLY AND KNOBS. FABRIC SPEAKER COVER",NA
Vacuum tube,Canada,1966,1960,GLASS/ METAL/ SYNTHETIC,NA
"Regulator, voltage",United States of America,1966,1940,GLASS/ SYNTHETIC/ METAL,NA
Relay,United States of America,1966,1960,METAL WORKING PTS & HARDWARE/ SYNTHETIC BASE,NA
Blueprint,Canada,1966,1902,PAPER,NA
Drawing,Canada,1966,1935,PAPER,NA
Voltmeter,United States of America,1966,1935,"CAST ALUMINUM CASE; SYNTHETIC DIALS & CONNECTORS; METAL, GLASS & SYNTHETIC COMPONENT PARTS",NA
"Receiver, radio",United Kingdom,1966,1939,"ALUMINUM CHASSIS, FRONT PANEL & BRACKETS. SYNTHETIC TUNING KNOBS, DIALS & VIEWING WINDOW. METAL, GLASS & SYNTHETIC COMPONENT PARTS",EU
"Receiver, radio",Canada,1966,1939,"WOODEN CABINET; FABRIC SPEAKER COVER; SYNTHETIC TUNING DIALS, BUTTONS, TUNINGINDICATOR PANEL & MOUNTING. GLASS, METAL & SYNTHETIC COMPONENT PARTS; SHEET STEEL CHASSIS",NA
"Switchboard, PBX",United States of America,1966,1925,"WOODEN CASE/ BRASS TERMINALS/ BAKELITE JACK STRIPS/ STEEL LAMP STRIPS/ BRASS & COPPER TELEPHONE JACKS &LAMP SOCKETS/ STEEL RELAY MOUNTING FRAME, RELAYS, INDUCTORS & BUZZER/ PLATED STEEL HINGES/ COPPER WIRING COTTON INSULATED/ BRASS CORD WEIGHT WELL.",NA
"Receiver, radio",Canada,1966,1934,"WOODEN CABINET. METAL, GLASS & SYNTHETIC COMPONENT PARTS. PRESSED PAPER SOUND BAFFLE PANELS. CELLUOID DIAL FACES (2). WOVEN FABRIC SPEAKER CLOTH.",NA
Chronograph,United Kingdom,1966,1900,METAL INSTRUMENT BASE/ BRASS & STEEL? WORKING PARTS/ WOOD PARTS/ SYNTHETIC PARTS/ WOOD FRAMED INSTRUMENT COVER WITH GLAZED SIDES & TOP/ WOOD CABINET WITH METAL HARDWARE,EU
Photograph collection,Canada,1966,1906,CARDBOARD/ CLOTH/ PAPER/ METAL HARDWARE,NA
Photograph collection,Canada,1966,1906,CARDBOARD/ CLOTH/ PAPER/ METAL HARDWARE,NA
Vacuum tube,United Kingdom,1966,1923,TUBE: GLASS/ METAL/ SYNTHETIC/ CARTON: CARDSTOCK,EU
